# Hochpass
#---------------------------------
f, U1, U2, phi
59.0, 2.01, 0.205, 82.7
74.3,2.010,0.259,82.4
94.0.0,2.009,0.3276,79.8
148.5,2.009,0.5023,75.2
235.8,2.008,0.761,67.0
373.7,2.003,1.085,57.0
470.4,1.999,1.265,50.4
564.9, 1.995, 1.338, 45.0
589.5, 1.995, 1.425, 44.1
742.7,1.993,1.572,37.0
937.2,1.99,1.669,31.2
1485,1.981,1.841,21.0
2358,1.979,1.913,13.0
3737,1.976,1.946,9.0
4704,1.977,1.959,6.6
5895,1.979,1.961,6.0
9372,1.976,1.967,4.0

# Tiefpass
#---------------------------------
47.0, 2.009,1.993,-5.6
59.0, 2.009,1.987,-6.5
74.3, 2.009,1.982,-8.2
94.0, 2.009,1.970,-9.9
148.5,2.008,1.930,-15.0
235.8,2.003,1.704,-30.0
373.7,2.000,1.656,-33.7
470.4,1.996,1.528,-39.3
564.9,1.995,1.407,-45.0
589.5,1.994,1.374,-45.6
742.7,1.990,1.201,-51.9
937.2,1.985,1.030,301.6
1485,1.981,0.709,291.0
2358,1.977,0.462,-75.0
3737,1.976,0.297,280.0
4704,1.976,0.238,-82
5895,1.975,0.192,-83
9372,1.976,0.122,-83,
