f,      UE,      UR (mV), UC (V), phi,   UL (mV)
390.9,  2.011,   9.25,    2.01,  -88.2,  25.8
489.7,  2.013,   11.57,   2.022, -87.9,  33.6
617.0,  2.014,   14.54,   2.031, -88.2,  40.2
778.6,  2.013,   18.77,   2.049,  271.1, 58.0
1234.0, 2.010,   30.43,   2.129,  271.2, 141.4
1959.0, 2.000,   53.22,   2.352,  -88.0, 382.4
3104.0, 1.955,   117,     3.213,  -85.9, 1298.0
3908.0, 1.804,   221,     4.850,  -80.2, 3102.0
4897.0, 0.691,   468.6,   8.30,    0.0,  8320.0
6170.0, 1.810,   220.6,   3.02,    79.2, 4840.0
7786.0, 1.957,   116.0,   1.28,    84.6, 3210.0
12340.0, 2.0,    54.0,    0.37,    87.0, 2359.0
19590.0, 2.003,  30.8,    0.13,    88.3, 2121.0
31050.0, 2.013,  18.4,    0.05,    88.8, 2045.0
39090.0, 2.015,  14.2,    0.03,    89.1, 2029.0
48970.0, 2.014,  11.5,    0.02,    90.0  2012.0
